dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 4월 14일,크크크치킨/1,맛있게 잘 먹었습니다~크크크 치킨,5,5,0
2024년 4월 14일,순살 더매운고추치킨/1,여러 배달어플에서 항상 잘먹규 있습니다ㅎㅎ 더매운 고추치킨 너무 맛있어요! 많이파세용,5,5,0
2024년 4월 13일,윙봉24세트/1(세트메뉴 맛변경(맛 변경 크크크치킨)),항상 맛있어요 최애,5,5,0
2024년 4월 12일,"크크크치킨/1,다리 6조각/1(부분육단품 맛변경(후라이드)),떡볶이/1",60계 처음시켜봤는데 닭도 크고 크크크 바삭하고 고소하네요 부위별 닭다리는 위와 아래 반으로 나눠져있어요 후라이드도 얇고 바삭합니다,5,5,0
2024년 4월 11일,"콤보（윙,봉,다리）/1(콤보선택(호랑이 콤보)),윙 15조각/1(윙선택(크크크 윙 15조각)),치즈스틱（5개）/1,아~매워!소스/1","호랑이치킨 진짜 맛있는데
저는 크크크가 더 맛있었어요 크크크소스랑 같이 먹으면 진짜 세상꿀맛
ㅠㅠㅠ다음엔 하하핫도 먹어볼거에요",5,5,0
2024년 4월 11일,"윙 15조각/1(부분육단품 맛변경(맛 변경 간지치킨)),봉 15조각/1(부분육단품 맛변경(맛 변경 고추치킨))",평일 저녁에도 바쁜 맛집. 주문하고 1시간 뒤에 왔어요,4,4,0
2024년 4월 10일,"포테이토치즈스틱(3조각)/1,봉 15조각/1(부분육단품 맛변경(맛 변경 크크크치킨)),치킨 무/1","양이 너무 많았네요 치킨은 바삭했고 맛있어요
다만 소스는 좀 아쉬웠네요",5,5,0
2024년 4월 10일,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 더매운고추치킨))",항상 잘 먹고있습니다,5,5,0
2024년 4월 4일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",항상 맛있게 먹고있어요~ 감사합니다!,5,5,0
2024년 4월 3일,"크크크치킨/1,생맥주 1,000cc/1",잘 먹었습니당 ㅎㅎ,5,5,5
2024년 3월 31일,"순살 크크크치킨/1,순살고추 치킨/1",믿고 먹는곳맛나게 잘먹을게요^^,5,5,5
2024년 3월 30일,간지치킨/1,맛있어요 단짠단짠하고 감자도 맛있고 신선한 재료로 만들었네요,5,5,5
2024년 3월 27일,"윙봉24세트/1(윙봉선택(크크크 윙봉)),떡볶이/1",항상 맛있어요 아이도 안매워서 잘 먹어요,5,5,5
2024년 3월 26일,"고추치킨/1,스프라이트1.5L/1",치킨 체인점 중 60계 치킨을 시켜먹는데요. 역시 고추치킨은 60계 인 것 같아요.,5,5,5
2024년 3월 25일,크크크치킨/1,주문후 1시간후 38분 도착이나 43분 지나도 안옴  배달료 4천원,3,3,1
2024년 3월 23일,"더매운고추치킨/1,떡볶이/1,팝콘만두/1,포테이토 치즈스틱（3개）/1",양도많고 맛도있고 잘먹었습니다.,5,5,5
2024년 3월 16일,고추치킨/1,"오늘은 진짜 배달이 엄청 빨리와서 먹으면서도 엄청 뜨꺼워서
바삭 촉촉하게 맛있게 먹었어요~
양도 많고 맛있네요",5,5,5
2024년 3월 13일,간지치킨/1,잘먹었습니다 번창하세요,5,5,5
2024년 3월 9일,떡볶이 엔 순살/1(순살선택(간지 순살)),치킨이야 알지만 떡볶이도 맛있다는 걸 이제야 알았네요!,5,5,5
2024년 3월 8일,호랑이치킨/1,배달빠르고 양 많아요 맛있습니다 !,5,5,5
2024년 3월 4일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),쫀득치즈볼（5개）/1","저녁시간 주문으로
시간이 좀 걸렸지만,
따뜻하게 잘도착해서
맛있게 먹었어요^^",5,5,5
2024년 3월 4일,"후라이드/2,양념소스/2",치킨이 아주 따끈하게 잘와서 만족합니다.,5,5,5
2024년 3월 2일,순살 크크크치킨/1,이상하다 이렇게 맛있어도 되나 싶을 정도로 맛있어요,5,5,5
2024년 3월 2일,후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(양념콤보 반)),맛이가 있습니다..,5,5,5
2024년 2월 28일,"순살 크크크치킨/1,미니쫀득볼（10개）/1","크크크 치킨 순살 진짜 맛있어요....
동영상으로 찍어서 캡쳐해서 올립니당 ㅋㅋㅋ(동영상 첨부가안되네요ㅜ)
양도 생각 외로 많았어요!~~",5,5,3
2024년 2월 26일,"크크크치킨/1,청양마요소스/1",담백하니 맛있었어요 콜라도 주시고 감사합니다 번창하세요~~~,5,5,5
2024년 2월 25일,"호랑이치킨/1,떡볶이/1",믿고먹는 곳 맛나게먹을게요,5,5,5
2024년 2월 16일,떡볶이 엔 순살（코카콜라）/1(순살선택(크크크 순살)),사진을 못찍었네요. 아이들이 크크크치킨 좋아해서 여러번 시켜먹었어요. 맛있게 잘먹었습니다.,5,4,3
2024년 2월 12일,크크크치킨/1,"양도 많이 주고 듣던대로 바삭해서 맛있어요.
소스도 특이하니 맛있어요.그래서 5점 줍니다!
앞으로 크크크,하하하치킨에 이어 어떤 치킨이 나올지
궁금해요!정말 치킨 맛있었어요!",5,5,5
2024년 2월 11일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),맛있어요~~~~ ^^ 잘 먹었습니다,5,5,5
2024년 2월 10일,호랑이치킨/1,배달빠르고 맛있어요,5,5,5
2024년 2월 3일,"떡볶이 엔 순살（코카콜라）/1(순살선택(크크크 순살)),다리 6조각/1(다리선택(후라이드 다리6조각))",회사근처인데 울동네 60계보다 나은듯. 배달도 빨랐고 크크크 도 더 바삭했어요. 다음에 또 주문할게요.,5,5,5
2024년 2월 3일,크크크치킨/1,"우리 부부 실컷 먹고도 이렇게 남았네요. 튀김옷이 두껍지 않은데, 바삭함이 다르고 상태좋은 기름으로 튀겨그런지 담백하게 느껴질 정도! 맛있습니다",5,5,5
2024년 2월 2일,"크크크치킨/1,청양마요소스/1",너무 맛있게 먹었어요 소스는 따로 시킨 청양마요가 제일 취향이었어요,5,5,5
2024년 1월 31일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","잘 먹었어요~
자주 주문해서 먹는데
콤보도 쿠폰이 있음 좋겠네요ㅎ",5,5,5
2024년 1월 28일,"순살 크크크치킨/1,쫀득치즈볼（5개）/1,치즈스틱（5개）/1","할모니께서 크크크를 워낙 좋아하셔서
최근에 치킨은 크크크순살 공식이 생겼습니다ㅎㅎ

소스가 항상 같이 왔는데 이상하게도 소스가 하나도 없어서 오잉오잉?했어요
누락이라는 생각은 못하고 핫크크크소스가 뒤에 추가된 것처럼 
소스가 이제 안 오는건가 싶어서 확인차 전화를 드렸습니다. 

직원분과 소통이 좀 어려웠지만, 결론적으로는 소스 재배달을 해주신다고 하셔서 기다리고 있었습니다.

추후에 배달기사님께서 주소가 완전 잘못 적혀 전달됐다고 연락이 와서.. 
다시 제대로 된 주소를 알려드렸고ㅠㅠ
기사님이 감사하게도 직원분이 외국분이신 거 같아 착오가 있었던 것 같다는 설명과 신속하게 배달을 해주셨습니다.

기다리는 동안 치킨이 약간 식고 왔다갔다 세팅하면서 주워먹다보니...ㅠ
엄청 맛있게 먹지는 못했어요..ㅠㅠ 아쉽습니다.

그래도 바로 처리해주셔서 감사한 마음에 별점 남깁니다ㅎㅎ",5,5,5
2024년 1월 27일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","퍽퍽살안좋아하는사람으로써
너무좋은구성이라
배달도빠르고
잘먹었어요",5,5,5
2024년 1월 27일,"후라이드/1,아~매워!소스/1",60계는 진리죠 바삭고소,5,5,5
2024년 1월 26일,"윙 15조각/1(윙선택(더매운고추 윙 15조각)),다리 6조각/1(다리선택(크크크 다리 6조각))",맛 있게 잘 먹었습니다.,5,5,5
2024년 1월 24일,크크크치킨/1,"맛있었네요
바삭한걸 원할때 딱 좋은 치킨인듯요
제입맛에는 약간 싱거운듯했는데 같이온 소스를 찍어먹으니 딱 좋았어요
세가지 소스중 ㅋㅋㅋ소스가 좋았는데 고급 중화요리 느낌이 나요",5,5,5
2024년 1월 21일,"후라이드/1,쫀득치즈볼（5개）/1","맛있게 잘 먹었어요
먹다가 찍어서 사진은 별루네요
배달을 빨리 와주셔서 따뜻했어요",5,5,5
2024년 1월 21일,크크크치킨/1,배달한거 바닦에 두고가는거 만나요,1,1,1
2024년 1월 18일,"다리 6조각/1(다리선택(크크크 다리 6조각)),후라이드 콤보 반＋콤보반 선택/1(콤보반 선택(양념콤보 반))","배달도 빨리오고
따끈하고 바삭한 치킨이
너무 맛있어요.",5,5,5
2024년 1월 18일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),다리 6조각/1(다리선택(간지 다리 6조각)),코카-콜라1.25L/1","맛이야.
말이 필요없을 정도로 맛있어요.",5,5,5
2024년 1월 16일,고추치킨/1,잘먹었습니다 번창하세요,5,5,5
2024년 1월 16일,간지치킨/1,잘먹었습니다 번창하세요,5,5,5
2024년 1월 15일,크크크치킨/1,"주문량 증가로 원하능 시간에 주문이 안되서 좀 기다렸지만 배달도 빨리오고, 맛도 좋아요!!!",5,5,5
2024년 1월 15일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),맛있게 잘먹었습니다. 감사합니다.,5,5,5
2024년 1월 15일,"크크크치킨/1,양념치킨/1",크크크크크크크치킨 최고,5,5,5
2024년 1월 15일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),순살 크크크치킨/1",허겁지겁 먹다보니 치킨은 다먹었네요 ㅎㅎ 감튀만 찍었습니다 쿠폰도 주고 좋네요,5,5,5
2024년 1월 9일,크크크치킨/1,크크크 너무 좋아해요 너무 맛있어요~~,5,5,5
2024년 1월 2일,"하하핫치킨/1,미니쫀득볼（10개）/1,청양마요소스/1",아 너무 맛나네요ㅋㅋ 오자마자 흡입하느라 먹던거 사진 찍어서 죄송해요ㅠㅠ 일단 기름이 정말 깔끔한것같고 사장님께서 최대한 기름도 신경써서 빼주신것같아요^^  양도 많아요👍앞으로 자주 주문할께요♡,5,5,5
2024년 1월 2일,"호랑이치킨/1,코카-콜라1.25L/1",항상 밑고시켜먹는 60계 좋아요,5,5,5
2023년 12월 25일,크크크치킨/1,"ㅋㅋㅋ치킨.
빠싹한 식감이 좋고 무엇보다 다양한 소스를 찍어 먹는 재미가 있음.",4,4,5
2023년 12월 22일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","오늘은 웨지감자가 너무 적네요;
많고 적을때 차이가 많이나요ㅜ
항상 비슷한 양이면 더 좋겠어요ㅎ
맛은 늘 괜찮고 따뜻하게 배송되어서
좋아요~",5,5,5
2023년 12월 21일,"봉 15조각/1(봉선택(크크크 봉 15조각)),봉 15조각/1(봉선택(고추 봉 15조각))",good !!!!,5,5,5
2023년 12월 18일,순살 하하핫치킨/1,"매운거는 좋은데 조금 식어서 왔네요
간이 짭짤한게 밥이나 빵이랑 먹으면 더 좋을것 같네요
신제품이라 꼭 먹어보고 싶었거든요
감사합니다",5,5,5
2023년 12월 15일,"후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),똥집튀김/1",항상 맛있게 잘먹고 있습니다,5,5,5
2023년 12월 9일,순살 크크크치킨/1,"맛, 양, 배달 다 만족합니다.",5,5,5
2023년 12월 8일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","요구사항도 잘 들어주시고 따뜻하게
배달해주셔서 맛있게 잘 먹었습니다 ^^",5,5,5
2023년 12월 7일,순살 크크크치킨/1,잘 먹었습니다 다음에 또 시켜 먹어야겠어오 ^^,4,4,4
2023년 11월 25일,"윙 15조각/1(윙선택(더매운고추 윙 15조각)),다리 6조각/1(다리선택(호랑이 다리 6조각))",다리15개는 원래 작은 사이즈도 들어가 있는걸까요,4,3,5
2023년 11월 23일,"간지치킨/1,후라이드/1","60계치킨은 역시나 퍽살마져 촉촉하니 맛있어요
이사오고 처음 주문해봤는데 마포역점도 맛있네요
다만 주말이라 그런지 배달이 오래걸렸어여 ㅠㅠ 약간 식어서 왔지만
그래도 음료도 큰거 넣어주시고 감사해요☺️",5,5,5
2023년 11월 18일,윙봉24세트/1(윙봉선택(간지 윙봉)),맛있게 먹었습니다,5,5,5
2023년 11월 17일,"후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),똥집튀김/1",맛있게 잘먹었습니다,5,5,5
2023년 11월 15일,윙봉24세트/1(윙봉선택(간지 윙봉)),맛있게 먹었습니다,5,5,5
2023년 11월 15일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",항상 맛있게 먹고있어요~ 감사합니다!,5,5,5
2023년 11월 12일,"크크크치킨/1,쫀득치즈볼（5개）/1,코카-콜라500ml/1",맛있게 잘 먹었습니다~ 또 시켜먹을게요~~,5,5,5
2023년 11월 11일,"순살후라이드/1,순살간지 치킨/1","매우 맛있습니다
잘먹었습니다
간지랑 후라이드입니다",5,5,5
2023년 11월 11일,크크크치킨/1,엄마가 드시고싶다고해서 주문해드렸어요 ㅎㅎ,5,5,5
2023년 11월 10일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),포테이토 치즈스틱（3개）/1","요청사항도 잘 들어주시고
맛있었어요~
콤보에도 웨지감자가 조금
들어있네요ㅎ",5,5,5
2023년 11월 10일,"크크크치킨/1,반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(하하핫 반)),떡볶이/1",60계치킨만 계속 주문해서 먹는중 맛있어요,5,5,5
2023년 11월 9일,윙봉24세트/1(윙봉선택(후라이드 윙봉)),"간지치킨 시켜 먹어보고  맛있어서 후라이드도 시켜봤어요
치킨이 깨끗하고 맛있네요
잘 받았습니다 맛있게 먹겠습니다 
감사합니다",5,5,5
2023년 11월 3일,크크크치킨/1,"넘 맛있어서 먹느라구 사진을 늦게 찍었네요ㅋㅋ
바삭바삭합니당
소스를 3가지 주시는데
기본 양념소스가 있으면 좋을것같아요!",5,5,5
2023년 11월 2일,크크크치킨/1,크크치킨 처음 주문해봅니다. 바삭하고 맛있네요 . 올만에 치킨주문해봐여 맛있어요 점심메뉴로 딱이였네요.,5,5,5
2023년 11월 1일,"후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),똥집튀김/1",항상 맛있게 잘먹고 있습니다,5,5,5
2023년 11월 1일,간지치킨/1,맛있게 먹었습니다,5,5,5
2023년 10월 30일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),아~매워!소스/1",맛있게 잘먹었습니다.,5,4,5
2023년 10월 30일,윙봉24세트/1(윙봉선택(고추 윙봉)),맛나네유 많이파세요,5,5,4
2023년 10월 26일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",인생치킨 포테킹후라이드콤보에서 크크크로 바뀜,5,5,5
2023년 10월 25일,간지치킨/1,맛있게 먹었습니다,5,5,5
2023년 10월 25일,간지치킨/1,맛있게 먹었습니다,5,5,5
