dates,order_items,reviews,taste_score,quantity_score,delivery_score
2024년 04월 23일,크크크치킨/1,"빠른 배송 ㅎ
맛나요  맛나~
종종 시킬께요",5,5,0
2024년 04월 19일,크크크치킨/1,역시 맛있네요~^^,5,5,0
2024년 04월 12일,크크크치킨/1,정말 맛있게 잘 먹었습니다,5,5,0
2024년 04월 11일,"순살 푸하핫치킨/1,후라이드치킨/1,고추치킨/1","저번에 맛있게 먹었던 기억에 다시한번 주문했었는데 이번엔 후라이드가 너~~무 바싹 튀긴 나머지 촉촉함이 없어 맛이 좀 떨어졌어요ㅠ
그리고 쿠폰은 여러마리를 시켜도 한장만 주셔서 쫌 ....
다른 치킨은 맛있게 먹었습니다
다른건 몰라도 양은 확실히 맘에들어요
많이 파세요",4,5,0
2024년 04월 09일,크크크치킨/1(음료업그레이드(콜라 1.25L 사이즈 업)),ㅋㅋㅋ역시 ㅋㅋㅋ 이번에도 ㅋㅋㅋ 다음에도ㅋㄱㅋ,5,5,0
2024년 04월 06일,순살 크크크치킨/1,먹다가 적네요 한입 먹으니 왜 크크크 인줄 알겠어요  완전 바삭 크크크 소스 맛있어요,5,5,0
2024년 03월 31일,"순살 크크크치킨/1,윙 15조각/1(윙선택(간지 윙 15조각)),미니쫀득볼（10개）/1","감사합니다 
맛있게 잘 먹었습니다 
다음에 또 시켜 먹을께요 
수고하세요 감사합니다",5,5,5
2024년 03월 31일,떡볶이 엔 순살/1(순살선택(간지 순살)),건너편 집 아주머니가 전화 주셔서 찾아 왔어요~,5,5,3
2024년 03월 31일,"크크크치킨/1,양념소스/1",크크크 치킨이 제일 맛있어요 양도 많고 바삭해요,5,5,5
2024년 03월 31일,"순살 크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),크크크소스/1",너무너무 맛있었어요 잘먹었습니다,5,5,5
2024년 03월 30일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))","맛있어요, 배달도 빨랐고요..",5,5,5
2024년 03월 29일,"6초치킨/1,양념치킨/1,후라이드/1","처음 주문인데 정말 맛있게 먹었어요
양도 푸짐하고 맛도 좋고 배달시간도 정확하게 지켜서 여러가지로 기분이  좋네요  감사합니다",5,5,5
2024년 03월 29일,크크크치킨/1,맛있어요 빨리오고 바삭하고 최고네요,5,5,5
2024년 03월 27일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살하하핫 반),순살반＋반선택2(순살간지 반))",60계 치킨 너무 맛있어요,5,5,5
2024년 03월 23일,"호랑이쫀도그（3개）/1,콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","배달이늦어 가계로 전화해봤는데
조리는 다됐는데 배달기사님 배정이
안됐는지 아직 출발못했다고....
요기요앱 에서 9시 26분 주문했는데
10시25분경 배달이 완료 됐네요
닭 후라이드가 따듯하긴 한데
바삭 함은 없네요",4,4,3
2024년 03월 21일,크크크치킨/1,"ㅋㅋㅋ치킨은 인생치킨이네요, 맛있는데, 사장님께서 기름기까지 잘 빼주셔서 더 맛나요",5,5,5
2024년 03월 17일,크크크치킨/1,맛있네요~ 바삭한 치킨은 크크크죠,5,5,5
2024년 03월 17일,순살 크크크치킨/1,맛있게 잘먹었습니다 또 주문할게요,5,5,5
2024년 03월 16일,크크크치킨/1,크크크치킨 맛있어요 고추치킨하고 크크크가 맛있는듯,5,5,5
