dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,크크크치킨/1,"완전 정신없이 치맥 했어용
아들은 불닭에 싸먹고 완전 맛좋네요~~",5,5,0
어제,"윙 15조각/1(부분육단품 맛변경(맛 변경 양념치킨)),콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 크크크치킨)),쫀득치즈볼(5조각)/1",배달도 빠르고 60계 크크크는 늘 맛있어요,5,5,0
6일 전,"포테이토치즈스틱(3조각)/1,순살 고추치킨/1",단짠단짠 맛있어요~~,5,5,0
2024년 4월 10일,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 호랑이치킨),사이드메뉴 추가(쫀득치즈볼(5조각)))",맛있어요. 다음에 또 먹을게요.,5,5,0
2024년 4월 10일,간지치킨/1,너무 맛나게 먹었습니당ㅋ굿ㅋ,5,5,0
2024년 4월 10일,크크크치킨/1,잘먹었습니다~~~!!!!,5,5,0
2024년 4월 9일,순살 크크크치킨/1,오늘은 따뜻하고 바삭하며 맛있었습니다.^^,5,5,0
2024년 4월 6일,고추치킨/1,배달이 빠릅니다.,3,4,0
2024년 4월 6일,크크크치킨/1,처음주문해봤는데 원래 닭다리가 작나요? 그래도 바삭하니 온가족이 잘 먹었습니다.,5,5,0
2024년 3월 31일,고추치킨/1,감사합니다 감사합니다,5,5,5
2024년 3월 21일,"윙 15조각/1(윙선택(더매운고추 윙 15조각)),치킨 무/1,생맥주 1,000cc/1",맛있는데 넘달아요. 조금 덜달면 좋을것같아요. 쳬인인데 집마다 틀리네요,4,5,5
2024년 3월 19일,"순살 크크크치킨/1,포테이토 치즈스틱（3개）/1","60계치킨 선호브랜드 
뼈닭보다 순살이 좀 짠듯 
소스많이 주셔서 잘먹었네요
배송빨라좋구요",3,4,5
2024년 3월 18일,순살 크크크치킨/1,오늘따라 더 바삭하네요!!!,5,5,5
2024년 3월 17일,크크크치킨/1,크리스피하고 촉촉한 치킨 너무 맛있아요!,5,5,5
2024년 3월 17일,후라이드 반＋반마리선택/1(반마리선택(간지치킨 반)),항상 맛있습니다.,5,5,5
2024년 3월 16일,"크크크치킨/1,순살 하하핫치킨/1",육십계 치킨 첨인데 진짜 맛있내요,5,5,5
2024년 3월 13일,간지치킨/1,역시 간지치킨 대존맛,5,5,5
2024년 3월 11일,"치즈볼 엔 순살/1(순살선택(간지 순살)),윙 15조각/1(윙선택(고추 윙 15조각)),포테이토 치즈스틱（3개）/1","완전 맛있게 잘 먹었습니다!!!
애가 간지치킨 너무 좋아해요ㅠㅠㅋ",5,5,5
2024년 3월 3일,크크크치킨/1,항상 맛있습니다.,5,5,5
2024년 3월 3일,크크크치킨/1,전에 순살 시켜먹었다 너무 맛있어서 뼈로 다시 시켜봤어요! 뼈인데도 작은 조각으로 나눠져 있어서 바삭바삭 맛있었습니다. 리뷰 이벤트 했는데  치즈볼은 깜빡하셨나봐요ㅜㅜ 요건 아쉽지만.. 너무 맛있게 먹었습니다~! 또 주문 할게요오,5,5,5
2024년 2월 28일,"순살 크크크치킨/1,봉 15조각/1(봉선택(양념 봉 15조각))",아이들이 좋아해서 자주 주문합니다. 항상 바삭하고 넘 맛있어요^^,5,5,5
2024년 2월 24일,"간지치킨/1(음료변경(제로콜라 1.25L  사이즈 업)),웨지감자/1,미니쫀득볼（10개）/1,스프라이트1.5L/1",60계 간지치킨 맛있어요. 웨지감자랑 치즈볼?도 같이 하니 좋아요!,5,5,5
2024년 2월 17일,크크크치킨/1,바삭함은 크크크를 넘어갈 수 없어요! 맛있게 먹었습니다~,5,5,5
2024년 2월 16일,순살 크크크치킨/1,"맛나요 ㅎㅎ쿠폰을 안 보내주셨네요~~~자주 시켜먹으니 다음에 두장보내주세용
24/2/16",5,5,5
2024년 2월 8일,"반마리＋반마리 선택/1(뼈반＋반선택1(하하핫 반),뼈반＋반선택2(더매운고추  반))",하하핫은 조 원하는 매운정도는 아니지만 매운고추치킨 치즈볼 너무너무 맛있었어요 ㅎㅎ,5,5,5
2024년 2월 8일,크크크치킨/1,너무 바삭해서 입천장 까지도록 먹었어요 살도 촉촉합니다.. 맛있어요!,5,5,5
2024년 2월 4일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살호랑이 반),순살반＋반선택2(순살고추 반))",요즘은 60계 치킨만 먹는거같아요. 넘 맛있습니다!!,5,3,5
2024년 2월 3일,간지치킨/1(음료변경(제로콜라 1.25L  사이즈 업)),맛있게잘먹었습니다 감사합니다,5,3,5
2024년 2월 3일,"후라이드/1,웨지감자/1",맛있게 잘 먹었습니다  금요일에 배달도 빠르고 감사드려요,5,5,5
2024년 1월 31일,"고추치킨/1(음료변경(제로콜라 1.25L  사이즈 업)),멘보샤（10개）/1","바삭바삭하게 잘 튀겨졌고 소스도 잘 발라졌네요.
늘 60계 이수점은 믿고 먹습니다.
깔끔하고 맛있어요.",5,5,5
2024년 1월 27일,순살간지 치킨/1,맛있게 잘 먹었습니다!,5,5,5
2024년 1월 26일,"콤보（윙,봉,다리）/1(콤보선택(고추 콤보),음료변경(제로콜라 1.25L  사이즈 업))",배달도 빠르고 요청사항도 잘들어주셨어요. 감사합니다.,5,5,5
2024년 1월 23일,"윙봉24세트/1(윙봉선택(후라이드 윙봉)),치킨 무/1,생맥주 1,000cc/1","깨끗한 기름을 사용해서인지 바삭하고 튄긴 색도 좋아요.
간이  짜지않고 적당해요.
추운 날씨인데도 식지 않고 배송 되었어요.
맛나게 먹었어요.",5,5,5
2024년 1월 20일,간지치킨/1(음료변경(제로콜라 1.25L  사이즈 업)),맛있게 잘 먹었습니다!!!,5,5,5
2024년 1월 17일,양념치킨/1,맛있게 잘 먹겠습니다~,5,5,5
2024년 1월 17일,크크크치킨/1,"바삭바삭하니 담백하니 소스도 세가지나 있어서 
맛있게 잘 먹었습니다",5,5,5
