dates,order_items,reviews,taste_score,quantity_score,delivery_score
2일 전,뼈 후라이드반+선택반/1(반마리선택(양념치킨 반)),예상시간보다 조금 늦게받았지만 바삭 맛있어요,4,4,0
5일 전,순살 양념치킨/1(음료업그레이드(제로콜라 1.25L 사이즈 업)),찐 맛집 입니다ㅜㅜ,5,5,0
2024년 4월 10일,크크크치킨/1,맛잇어요 !! 첨 시켜봤는데 소스랑 먹으니까 더 맛잇네요 ~,5,5,0
2024년 4월 5일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))","주문할 때 시간보다 30분 .. 중간에 뜨는 시간 보다 20분 늦게 도착해서 미지근한 치킨을 먹었네요. 
맘 같아선 취소하고 싶었는데.. 이렇게 늦게 오면 다른데 주문하기도 어렵고.. 난감합니다.
지금으로썬 요기요 이용 안하고 싶습니다.",1,1,0
2024년 4월 4일,크크크치킨/1,맛있게 잘 먹고 있어요  맛나요,4,4,0
2024년 3월 27일,"순살고추 치킨/1,콜라 245ml/1",배달빠르고친절안전맛최고야',5,4,5
2024년 3월 26일,간지치킨/1,오랜만에 간지치킨 먹었는데 역시 맛있네요,5,5,5
2024년 3월 25일,크크크치킨/1,"ㅋㅋㅋ치킨과 불닭볶음면을 함께 먹으면
진짜 ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
행복해옹❤️",5,5,5
2024년 3월 24일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),양념소스/1","바삭하니 맛있어요~
근데 서비스 다른걸로 보내주셔서
아쉽네요",5,5,5
2024년 3월 24일,후라이드/1,"주말 모처럼 셋이서(우리집 봉삼이)포함....
아주 잘먹었네요.",5,5,5
2024년 3월 24일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 제로 1.25L)),"리뷰이벤트 신청했는데 웨지감자가 안왔어요ㅜㅜ
그래도 치킨이 넘 맛있어서 엄지척이예요!
치킨 진심 맛있어요 담에 또 시킬게요 그때 리뷰이벤트
주세요",5,5,5
2024년 3월 23일,"고추치킨/1,쫀득치즈볼（5개）/1",역시 60계치킨 배달빠르고 진짜맛있어요,5,5,5
2024년 3월 22일,고추치킨/1,빠른배달 맛있는 치킨 감사합니당,5,5,5
2024년 3월 21일,후라이드 순살 반＋순살 반 선택/1(순살반마리선택(양념순살 반)),너무 맛있어요! 배달이 늦어서 아쉬웠습니당..,5,5,3
2024년 3월 19일,"윙봉24세트/1(윙봉선택(후라이드 윙봉)),코카-콜라1.25L/1,치킨 무/1",잘 먹었어요 또 주문할께요,5,5,5
2024년 3월 13일,고추치킨/1,맛있게 잘먹었습니다,5,5,5
2024년 3월 11일,크크크콤보＋치즈볼＋코카콜라1.25L/1(코카-콜라 음료선택(코카-콜라 제로 1.25L)),60계 치킨에서 크크크 치킨 시켜 먹었습니다 처음 사먹는거라 기대 안하고 사먹었는데 옥수수 소스 크럼블 맛이 조합 그자체네요 배송도 만족 합니다 담에 또 사 먹겠습니다,5,5,5
2024년 3월 8일,크크크치킨/1,맛있네요  잘 먹었습니다,4,4,4
2024년 3월 7일,후라이드/1,부모님 배달해드렸는데 맛있게드셨대요  감사합니다~~~~~~~~~~,5,5,5
