dates,order_items,reviews,taste_score,quantity_score,delivery_score
19시간 전,크크크치킨/1,칭구들 칭찬에 주문했는데 맛있네요~튀김도바삭하고~잘먹었습니다,5,5,0
어제,간지치킨/1,배송도 빠르고 맛도 좋아요,5,5,0
2일 전,"크크크치킨/1(사이드메뉴 추가(웨지감자),음료업그레이드(코카콜라 제로 1.25L 사이즈 업))",맛있고 성인 남성 두명이 먹기도 충분할만큼 양이 많아요,5,5,0
3일 전,"크크크치킨/1(사이드메뉴 추가(쫀득치즈볼(5조각)),소스,추가메뉴(크크크소스))",맛있어요~~ 또 시킬게요,5,5,0
3일 전,뼈 후라이드반+선택반/1(반마리선택(더매운고추 반)),여긴 진짜 맛집입니당 ㅎㅎㅎㅎ,5,5,0
5일 전,"뼈 선택반+선택반/1(반반맛선택 1(양념치킨 반),반반맛선택 2(호랑이 반)),쫀도그(3조각)/1",어머낫 사장님~!! 너무 맛있잖아요~~ 맛있다고 연신 감탄하면서 먹었어요~ 자주 주문할께요~^^,5,5,0
5일 전,크랑이치킨/1,"신메뉴들 나름 ㄱㅊ네요
할인만들어가면 무조건 시킬듯",5,5,0
6일 전,윙봉 후라이드반+선택반/1(세트반마리선택(고추치킨 반)),아주 맛있게 잘먹었어요! 바삭 후라이드를 제일 좋아하지만 고추치킨도 맛나요 치즈스틱도 맛나요👍,5,5,0
2024년 4월 13일,순살 크랑이치킨/1,미쳤네요 존맛!!!!,5,5,0
2024년 4월 11일,후라이드/1,그냥 아주 맛있슴니다,5,5,0
2024년 4월 11일,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 크랑이치킨))","크랑이 새로 나와서 시켜먹어봤습니다!
항상 맛있는 치킨 감사합니다~",5,5,0
2024년 4월 10일,순살 후라이드치킨/1,맛은 있는데 너무 식어서 왔어요.... 식지않고 왔으면 더 좋을거 같아요,5,4,0
2024년 4월 9일,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 고추치킨))",양많고 맛있어요!!,5,5,0
2024년 4월 6일,"고추치킨/1,후라이드/1",맛있게 잘 먹었어요~^^,5,5,5
2024년 4월 5일,"크크크치킨/1,크크크소스/1",크크크 치킨 너무 맛있어요 !!!! 강추,5,5,0
2024년 4월 4일,순살 크크크치킨/1,"60계 치킨 먹고싶었는대 오늘 드디어 먹은날!
기대만큼 진짜 엄청 바삭하고 맛잇어요! ASMR 대박😍
소스도 많이 쥬시고~~ 양도 많고 굿굿! 다음에는 다른맛으로 또 먹으려구용~~",5,5,0
2024년 4월 1일,"순살 크크크치킨/1,양념소스/1,크크크소스/1","진짜 너무 바삭하고 맛있게왔습니다
잘먹었습니다 다음에도 또 시킬게요!",5,5,5
2024년 3월 31일,크크크치킨/1,진짜 바사삭하네요. 동생이 사달라고해서 시켜줬어요. 꿀맛!,5,5,5
