dates,order_items,reviews,taste_score,quantity_score,delivery_score
5일 전,크크크치킨/1,"크크크 처음 주문해봤어요. 주변에서 맛있다고들 추천했는데, 먹어보니 이유를 알겠어요. 맛있게 잘 먹었습니다.",5,5,0
2024년 4월 14일,순살 호랑이치킨/1,호랑이 기운이 샘솟아서 문고리를 으스러트려버렸습니나,5,5,0
2024년 4월 7일,후라이드/1,"아주 바삭바삭하게 잘 튀겨졌습니다
맛있게 잘먹었습니다",5,5,0
2024년 4월 5일,"순살 크크크치킨/1,팝콘만두/1",늘 순살ㅋㅋㅋ치킨만 먹어요 맛있어요 일주일에 한번은 시키는듯 짱,5,5,0
2024년 3월 31일,"크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),크크크치킨/1",바삭하고 살이 많아서 맛있었어요~ 이메뉴도 매장마다 맛이 좀 다르던데 맛있게 먹었어요,5,5,5
2024년 3월 28일,순살 크크크치킨/1,"굳이여요 정말 굳이여요 
소스가 굳",5,5,5
2024년 3월 26일,"호랑이치킨/1,웨지감자/1,미니쫀득볼（10개）/1",짱맛있어용,5,5,5
2024년 3월 18일,순살 크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),크크크치킨 처음먹어봤는데 맛있더라구용,5,5,5
2024년 3월 16일,크크크치킨/1,바삭바삭하고 맛있어요!!,5,5,5
2024년 3월 14일,순살 크크크치킨/1,크크크 조리법이 바꼈나요? 가슴살로 변한건가요?,5,4,5
2024년 3월 14일,"떡볶이/1,순살후라이드/1,스프라이트500ml/1",너무 맛있어요 먹고 싶어서요🤤,5,5,5
2024년 3월 6일,"후라이드 반＋반마리선택/1(반마리선택(양념치킨 반),음료선택(사이다 500ml 사이즈 업))",바삭바삭 고소하고 맛있어요,5,5,5
2024년 2월 28일,"봉 15조각/1(봉선택(간지 봉 15조각)),윙 15조각/1(윙선택(고추 윙 15조각))","항상 만족해요
아이들과 잘 먹을께요",5,5,5
2024년 2월 25일,크크크치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),별한개는 머리카락이나왔어요..그래도 맛이이상있는건아니니 빼고먹으라고 했어요 아이들에게,5,5,5
2024년 2월 16일,"후라이드/1,청양마요소스/1","요청사항은 그냥 무신가요?
어이가 없네요.",4,4,1
2024년 2월 9일,크크크치킨/1,맛있어요 조카가 좋아해요,4,4,4
2024년 1월 28일,"하하핫치킨/1,new장스치킨/1","빠른배달 장스,하하하 맛나게 먹었어요.",5,5,5
2024년 1월 28일,"순살 하하핫치킨/1,고추치킨/1","빠른배달,맛나게 먹었어요^^",5,5,5
2024년 1월 21일,윙봉24세트/1(윙봉선택(후라이드 윙봉)),치킨도 감자튀김도 볼? 도 다 맛있어요,5,5,5
2024년 1월 18일,순살 크크크치킨/1,배달은 좀 오래걸렸지만 맛있었어요,5,5,5
2024년 1월 16일,"봉 15조각/1(봉선택(간지 봉 15조각)),윙 15조각/1(윙선택(간지 윙 15조각))","항상 맛나게 먹고 있어요.
30회는 족히 시켜먹은 vvip  일거에요~",5,5,5
2024년 1월 10일,"순살고추 치킨/1,웨지감자/1",정릉 60계지점에 비해 양이 점 차이가 납니다만  언제나 맛있는 고추치킨,5,4,5
2024년 1월 7일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",오늘은좀  실망이네요,3,4,5
2024년 1월 6일,"크크크치킨/1,똥집튀김/1,라이스치즈스틱（5개）/1",아이가 친구한테 듣고 시켜달래서 처음 먹어봤는데 바삭하고 맛있네요,5,5,5
2024년 1월 5일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(고추 반))",저희 아빠가 제일 좋아하세요,5,5,5
2024년 1월 1일,크크크치킨/1,배달도빠르고치킨맛도좋아요~~^^,5,5,5
2023년 12월 31일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(간지윙봉 반),윙봉반＋반 선택2(고추윙봉 반))","부모님댁에 보내드렸어요
맛있게 잘 드셨다고 하십니다
2023년 마지막날이네요
배달주문 많았을텐데 사장님. 배달기사님 모두 감사드립니다!
사장님 새해 복 많이 받으세요!",5,5,5
2023년 12월 26일,양념치킨/1,맛은 있는데 닭을 너무 튀기시는듯 합니다 닭이 딱딱해요 ..,3,4,5
2023년 12월 24일,"간지치킨/1,후라이드/1",언제나처럼 오늘도 맛있게 잘 먹었어요,5,5,5
2023년 12월 23일,"반마리＋반마리 선택/1(뼈반＋반선택1(호랑이 반),뼈반＋반선택2(양념 반))",먹어본 60계치킨 중에서 제일 맛있었어요,5,5,5
2023년 12월 20일,하하핫치킨/1,좋아요 감사해요 맛있어요,5,5,5
2023년 12월 12일,후라이드 반＋반마리선택/1(반마리선택(양념치킨 반)),입맛이 없어서 치킨 맛은 잘 느끼질 못했지만 맛있었던것 같습니다.  근데  배달해주시는 분이 기분나쁘게도 비가 오는데 음식을 걍 밖에다가 두고가셨더라구요.  바로 한발짝만 더 딛으면 문 안쪽에다가 들여놔줄수 있었을텐데.,4,4,1
2023년 12월 8일,"생맥주 1,000cc/1,콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",맛있는데 다음에 보내주실때 콜라도 주세요..목록에 콜라 포함인데 없네요,5,5,5
2023년 12월 8일,크크크치킨/1,소스도 맛있고 치킨도 바삭해요,5,5,5
2023년 12월 4일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(고추 반))",저희 아빠가 너무 좋아하세요,5,5,5
2023년 12월 1일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살고추 반),순살반＋반선택2(순살간지 반))","맵찔이라 고추치킨 매우면 간지먹을려고 순살반반시켰는데 고추치킨에 손이 더 가네요.
은근히 계속 손가는 맛!
재주문 각입니다",5,5,5
2023년 11월 28일,"간지치킨/1,라이스치즈스틱（5개）/1",맛있게 먹었습니다 ㅎㅎ,5,5,5
2023년 11월 27일,new장스치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),치킨하면 육십계치킨!!!,5,5,5
2023년 11월 26일,후라이드/1,맛있어요   매우좋아요,5,5,5
2023년 11월 24일,"순살 크크크치킨/1,양념소스/1",바삭하고 맛있어요ㅋㅋ,5,5,5
2023년 11월 17일,후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(간지윙봉 반)),유독 맛있었네요 바삭하고...,5,5,5
2023년 11월 16일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보)),포테이토 치즈스틱（3개）/1",크크크는 처음 시켜봤는데 튀김옷이 특이해서 맛있네요,5,5,5
2023년 11월 11일,"순살 크크크치킨/1,순살간지 치킨/1",배달이 많이 느립니다.,2,3,1
2023년 11월 10일,윙 15조각/3(윙선택(후라이드 윙15조각)),부모님이랑 아주 맛있게 먹었어요 맛이 깔끔해요,5,5,5
2023년 11월 4일,윙봉24세트/1(윙봉선택(더매운고추 윙봉)),맛나요 굿굿 조아요 국,5,5,5
2023년 10월 31일,"윙봉24세트/1(윙봉선택(후라이드 윙봉)),똥집튀김/1,콜라 1.25L/1",똥집튀김 너무맛잇어요~~ 생각나게합니다.ㅎㅎ,5,5,5
2023년 10월 31일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(고추 반)),웨지감자/1",맛나게 잘 먹어썽요!,5,5,5
2023년 10월 26일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보))",크크크치킨 진짜 맛있어요. 배달 빠르고 다른 지점 두군데서도 먹어봤는데 여기 전농점이 바삭 촉촉 젤 맛있는거 같아요~,5,5,5
2023년 10월 20일,new장스치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),60계 치킨 중 가장 좋아하는 장스치킨 맛있어요,5,5,5
2023년 10월 18일,"콤보（윙,봉,다리）/1(콤보선택(크크크 콤보),음료변경(코카콜라 제로1.25L 사이즈 업)),핫크크크소스/1,마요네즈소스/2,웨지감자/1","진짜 바삭하고, 따뜻하고, 육즙터지고... 이게 바로 치킨이구나 생각이 들었습니다. 너무 맛있게 잘 먹었어요!! 돈쭐나십셔!!!",5,5,5
2023년 10월 11일,"후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(간지윙봉 반)),쫀득치즈볼（5개）/1",오늘 진짜 맛있어요 축구보면서 맛나게 먹었어요,5,5,5
2023년 10월 9일,"양념소스/2,크크크소스/1,순살 크크크치킨/1",바싹바싹 맛나게 잘 먹었어요~,5,5,5
2023년 10월 7일,"순살 반＋순살 반 선택/1(순살반＋반선택1(순살간지 반),순살반＋반선택2(순살고추 반))",배달도 빨리오고 맛있었어요,5,5,5
2023년 10월 5일,"고추치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),양념치킨/1(음료변경(코카콜라 제로1.25L 사이즈 업)),웨지감자/1,팝콘만두/1,아~매워!소스/1,치킨 무/1,청양마요소스/1","맛나게 잘 먹었습니다
다음에 또 올께용~~~",5,5,5
2023년 10월 4일,윙 15조각/2(윙선택(후라이드 윙15조각)),"비와서 많이 늦을줄알았는데 빨리와서 감사합니다^^
소스도 넉넉히주시고 콜라에 무까지 웨지감자도 저번보다 더 많이주셔서 감사해요 오늘도 맛있게 잘
먹겠습니다~~~",5,5,5
2023년 10월 3일,크크크치킨/1,여보가 맛있다고 또 주문 했어요.,5,5,5
2023년 10월 2일,"후라이드 반＋반마리선택/1(반마리선택(고추치킨 반)),웨지감자/1",맛있게 잘 먹었습니다,5,5,5
2023년 9월 29일,크크크치킨/1,好吃好吃😋，点了柾国同款,5,5,5
2023년 9월 26일,"반마리＋반마리 선택/1(뼈반＋반선택1(간지 반),뼈반＋반선택2(고추 반))",맛있게ㅓ먹었습니다 또 시켜먹을게요,5,5,5
