dates,order_items,reviews,taste_score,quantity_score,delivery_score
3일 전,"크랑이치킨/1,콜라 245ml/4",맛있어요 바짝한게 일품입니다,5,5,0
3일 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(맛 변경 크크크치킨)),라이스치즈스틱(5조각)/1",크크크 폼 미쳤다. 짐빔 하이볼과 같이 즐길 짐빔 됐어???,5,5,0
2024년 4월 15일,"호랑이웨지감자/1,순살 크크크치킨/1(사이드메뉴 추가(미니쫀득볼(10조각)))",넘 맛나요 최고!!!,5,5,0
2024년 4월 7일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),크크크소스/1,치킨 무/1,아~매워!소스/1,봉 15조각/1(봉선택(하하핫 봉 15조각))",늘 시켜서 맛있게  먹고있어요^^,5,5,0
2024년 4월 4일,크크크치킨/1,맛있게 잘 먹었습니다,5,5,5
2024년 4월 1일,"순살 크크크치킨/1,호랑이치즈볼（5개）/1",첨 먹어봤는데 넘 맛있었어요,5,5,5
2024년 3월 29일,순살 크크크치킨/1,요즘들어 자주 시켜먹는데 진짜 맛있고 양도 많아요,5,5,5
2024년 3월 15일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보))",너무맛잇어요 잘먹엇어요,5,5,5
2024년 3월 12일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),크크크소스/1,치킨 무/1,아~매워!소스/1","우리집은 이제 치킨은  60계만 먹게되었네요..겉바 속촉...
넘 맛있어요.
잘먹겠습니다.^^",5,5,5
2024년 3월 12일,순살고추 치킨/1,👍👍👍👍👍,5,5,5
2024년 3월 10일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보))",맛있게 잘 먹었습니다,5,5,0
2024년 3월 10일,윙봉24세트/1(윙봉선택(호랑이 윙봉)),맛있게 잘 먹었습니다 👍,5,5,5
2024년 3월 9일,순살후라이드/1,60계 치킨 맛납니다 좋아요,5,5,5
2024년 3월 2일,"고추치킨/1,마요네즈소스/1",맛있어요!!또 시켜먹을래요,5,5,5
2024년 2월 24일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),크크크소스/1",언제 먹어도 맛나요~~^^,5,5,5
2024년 2월 22일,순살간지 치킨/1,👍👍👍👍👍,5,5,5
2024년 2월 22일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(호랑이윙봉 반),윙봉반＋반 선택2(더매운고추윙봉  반)),치킨 무/1",어플 포장 무추가 했는데 직원 실수로 무가 하나 안넣었다고 죄송하다고 하시면서 계좌이체 해준다고 하더니 500원 만 보내셨네요 어플엔 800원 이였는데 같은 업종에서 일해본 사람인데 참 부끄럽네요,1,1,0
2024년 2월 18일,봉 15조각/1(봉선택(고추 봉 15조각)),"내가 좋아하는 60계 고추맛, 혼밥 하는 사람에게는 참 좋은 메뉴",5,5,0
2024년 2월 13일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),크크크소스/1","넘 맛있어서 몇번째 시켜먹었네요.
60계 치킨 넘 맛있어요",5,5,5
2024년 2월 7일,크크크치킨/1,앞으로 배달을 계속 주문할게요 맛집맛집!,5,5,5
2024년 2월 3일,"봉 15조각/1(봉선택(후라이드 봉15조각)),떡볶이/1,코카-콜라1.25L/1",양도 맛도 최고예요 떡볶이도 너무 맛있었습니다,5,5,5
2024년 2월 2일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),크크크소스/1","60계치킨 후라이드치킨 넘 깔끔하고 계속 땡기는 맛 최고예요~!!
크크크소스도 넘 밋나요.^^",5,5,5
2024년 1월 26일,"크크크치킨/1,미니쫀득볼（10개）/1,코카-콜라 제로1.25L/1",오랜만에 시켰는데 맛있네요.,5,5,4
2024년 1월 21일,순살 크크크치킨/1,"배달완료시간에 조리중이고
다시 배달시작했을때 완료시간이 다시 조정되었지만 여전히 늦었어요.
배달이 정말 엉망이네요.
처음부터 기대시간을 늘리시면 좋을거 같습니다.
라이더님 문제는 아닌거 같아요.
치킨은 잘먹었습니다.",5,5,1
2024년 1월 14일,순살 크크크치킨/1,바삭하구 맛있구 배달이 빨라요,5,5,5
2024년 1월 11일,크크크치킨/1,"맛있어요.
엄청 바삭해서 먹을 때 잇몸 조심해야되요.
소스도 종류별로 다 맛있어요.",5,5,0
2024년 1월 7일,순살 크크크치킨/1,"너무 맛있어요. 소스가 아주 다양해요
취향저격",5,5,5
2023년 12월 31일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보)),new장스똥집튀김/1",맛있게 잘 먹었습니다,5,5,0
2023년 12월 20일,하하핫치킨/1,"날도 추운데 안식게 빨리 배달해 주셨어요.
순살을 좋아하는데, 이번에는 뼈치킨으로 시켜봤어요. 바삭바삭하니 매콤하네요.",5,4,5
2023년 12월 18일,하하핫치킨/1,"평일 오후 5시 넘어서 주문했는데, 주문한지 거의 한 시간만에 왔는데..
비가 왔나 싶을 정도로 케이스가 물에 젖어있음..치킨에 물이 안 들어갔나 걱정함..그리고 치킨도 거의 식어서 옴.. 암튼 다시 시킬 일 없음.",2,2,1
2023년 12월 15일,호랑이치킨/1,"모처럼호랑이치킨이 먹고싶어서시켰는데
23분도착이  55분 배달되어서 가게로전화했더니 사장님이늦어도할수없다고   말씀하시더라구요아주기분이상했는데 치킨이 식어서  다시다엄청부은 냄세가나서 아주기분상했네요  다시는 60계회기점은 안시킬것갔아요
모처럼식구들모여서 먹으려다가 안먹게되었네요",1,1,1
