word,freq
앱,5408
어플,4737
너무,4113
챌린지,3960
안,3648
습관,3450
인증,3319
잘,3274
좋,2797
많,2563
챌린저스,2531
목표,2500
더,2475
운동,2156
제,2080
상금,2011
사용,1958
돈,1952
광고,1884
다,1755
게,1692
계속,1681
다른,1637
할,1607
저,1577
업데이트,1552
포인트,1533
좀,1441
좋아요,1429
오류,1424
도움,1400
고,1315
시간,1311
사진,1205
나,1157
동기부여,1139
기능,1138
거,1106
생각,1100
주,1076
때,1065
좋아,1064
시작,1031
내,1018
일,1013
못,988
그,979
하루,978
만보기,977
개선,953
사람,951
아침,950
씩,943
통해,912
진짜,909
화면,899
영양제,892
도전,880
시,869
처음,855
것,852
꾸준,850
불편,842
해,810
감사,809
쓰고,798
ㅎㅎ,791
분,781
요즘,780
왜,779
열심,777
추천,768
좋습니다,759
면,758
생활습관,751
지,746
덕분,738
요,727
번,721
하게,718
같,704
하,681
매일,673
원,671
생활,669
함,653
작,652
기록,650
달성,638
있게,624
큰,620
같습니다,614
있으면,601
식단,598
기,597
재미,595
건강,592
앞,576
까,575
삭제,574
전,573
실천,572
되,571
다이어트,568
로그인,564
다양,561
후,560
좋겠어,558
건,557
해야,556
중,547
됩니다,546
자꾸,545
의지,538
최고,529
받,521
느낌,520
좋은,512
버튼,512
없,506
아주,506
위해,503
오,491
좋겠습니다,482
인증샷,482
많아,475
필요,474
확실,473
리뷰,469
않,467
수,464
문제,461
점점,458
않아,457
자주,456
접속,452
점,451
팝업,451
기간,443
되어,442
없어,441
ㅠㅠ,437
보기,436
미션,434
이용,433
같아,425
마음,424
터치,411
결제,411
혼자,410
연동,409
좋겠어요,406
성공,406
싶어,401
등,399
이거,396
어,396
오늘,392
설정,391
삶,390
않고,384
누르면,384
변화,383
편,381
아직,379
실행,378
개,369
뿌듯,363
매우,362
방법,362
현상,360
때문,355
ㅠ,354
있,353
데,351
자신감,350
아니라,349
년,347
눌러,347
빠른,345
뭐,345
계획,342
문의,340
기상,340
걸고,340
성취감,338
받고,335
가능,334
클릭,332
참,329
엄청,329
ㅋㅋ,326
친구,324
로딩,322
수정,320
뭔,320
아닌,317
좋고,314
확인,314
분들,314
유용,310
뒤로가기,310
보,309
폰,307
사용자,307
알림,307
이,305
기분,301
부탁드립니다,300
있었는,300
알차게,297
생겨,295
집,293
사람들,293
아예,293
자신,290
갓생몬,290
싶,289
참여,288
걸음,287
만원,285
공부,284
유저,283
예전,279
없고,278
있음,276
쉽게,276
현재,276
보면,275
여러,275
힘,274
안되,273
적립,272
답변,270
만보,268
만족,267
넘,267
좋네,265
일어나,265
있었으면,264
인증하,260
볼,260
구매,260
환급,260
몸,259
자동,256
최근,254
찍어,254
바랍니다,253
아니,253
카메라,253
핸드폰,252
이게,252
보고,252
빨리,252
알람,249
안됩니다,249
하루하루,249
프로그램,248
발생,248
관리,247
생기고,245
시스템,243
좋네요,242
ㅎ,242
날,240
ㅋㅋㅋ,240
가장,239
완전,239
할수,238
실패,238
뜨,237
여,235
먹,235
있으니,235
될,234
알게,233
부지런,232
짧,231
평소,231
_,230
인증사진,228
좋은습관,228
사용할,227
챌스토어,226
관련,225
강추,225
해당,225
않습니다,224
중간,224
새로운,224
끝,222
걷기,222
등록,221
설치,218
추,216
되지,215
취지,215
여러번,213
부담없,213
일찍,213
작심삼일,212
돼,211
있도록,209
깔끔,209
살,209
이벤트,207
보상,207
가입,206
진행,205
하지,204
방식,202
미루,202
영상,201
한,201
굉장,200
휴대폰,200
잘쓰고,200
혜택,199
안돼,198
제일,198
제품,197
찍,197
글,196
월,196
해주,196
모습,194
또,193
많고,192
몇번,192
렉,191
걸,191
식,191
문,191
좋은거,190
두,189
챌린저,189
어플이,188
나오고,187
적,187
스스,186
작동,186
초,186
더욱,186
되면,185
효과,184
루틴,183
있네,183
원동력,183
입력,182
같고,182
프,182
누르고,181
달,180
금액,180
업로드,179
앱이,178
고객센터,178
무기력,178
가,177
해결,176
데이터,176
이유,176
비율,174
최적화,173
갤럭시,173
잘못,172
걸어,172
기존,171
제발,171
비해,171
그룹,171
수수료,171
없네,169
말,169
같네,169
취소,169
페이지,169
아닌가,169
아쉬워,168
상황,167
약간,167
싶은,167
쓰,167
들어,166
새,166
는,166
책,166
이미,165
밖,165
맘,164
안드로이드,164
는게,164
플랜,163
간단,163
이건,163
약,163
위,162
물,162
맞,161
니,161
게임,161
기준,160
나와,159
받아,159
댓글,158
좋을거,157
꾸준하게,157
목표달성,157
해줘,156
건지,155
직관적,155
추가,154
같은,153
디자인,153
속도,153
인증해야,153
알,152
가끔,152
끝나면,151
뜨네,151
별,151
솔직,151
공유,151
기상챌린지,151
콜라보,150
생활패턴,150
같네요,149
갈수록,149
게으른,149
유용하게,148
좋다,148
어주셔,148
뒤,148
부담,148
오래,147
좋음,147
삼성헬스,147
많은,146
내용,146
있던,146
어떤,145
예치금,145
자존감,145
경험,144
나오,143
일상,143
창,143
훨씬,142
아쉽습니다,141
설명,141
환불,141
세,140
쓰면,140
쓸,140
얼마,140
매일매일,139
서비스,138
메일,137
이앱,137
화이팅,136
구성,135
주변,135
보다,135
괜찮,135
밀리그램,135
노력,135
가진,135
부지런하게,135
생각보다,134
그게,134
지인,134
걸음수,133
나태,133
형성,133
넘어,132
자,132
인해,131
문의드립니다,131
그렇게,131
되었는,131
다양하게,130
피드백,130
아니고,129
아무래,129
음식,129
넘게,128
모두,127
안내,127
모델,127
상당,127
줄,127
습관형성,127
출금,127
다음,126
쏠쏠,126
좋겠네,125
변경,125
전혀,125
업뎃,125
누,125
신청,125
버그,124
