,Token,Frequency
3395,홈트레이닝,3313
588,관리,1984
2218,운동,1130
3335,헬스,1067
2401,자기관리론,891
2820,카네기,878
1843,습관,763
1798,스트레칭,740
481,건강,714
2399,자기관리,604
1356,밴드,545
3232,필라테스,523
1853,시간관리,463
689,기구,451
1090,마사지,445
1852,시간,403
2554,접착,369
3396,홈트레이닝기구,351
2222,운동기구,341
2180,요가매트,333
2431,자동차,327
541,고무,318
1945,아령,317
660,근력,316
2876,케이블,304
3092,팔찌,297
2093,여성,297
2803,치료,290
3097,패드,263
1020,레이닝,263
3179,풀업밴드,262
2443,자석,243
880,덤벨,242
2159,와이어,240
665,근력운동,234
993,라텍스,230
2936,클립,229
1817,스포츠,227
1131,매트,227
3164,푸쉬업바,226
902,도구,220
2342,인간관계론,218
1890,실내,217
1653,셀프,214
428,가정용,210
2738,철봉,202
3033,튜빙밴드,201
1502,블랙,201
751,남성,200
3347,헬스용품,197
3081,팔굽혀펴기,191
3385,홀더,189
2520,전기,189
2991,턱걸,188
896,데일카네기,186
2955,타이머,174
2887,코드,171
1092,마사지기,163
2209,용품,161
2934,클램프,159
486,건강팔찌,159
1053,루프밴드,159
1754,스쿼트,159
2263,웨이트,158
1346,배송,154
2095,여자,151
3012,테이프,150
1766,스타,148
2623,줄넘기,148
2753,체중,147
1837,슬리밍,146
2027,양말,146
2535,전신,143
839,다이어트,143
448,감소,143
1143,멀티,143
757,남자,142
2070,에너지,141
2352,인생,140
3482,힙업,139
1620,성공,139
994,라텍스밴드,138
3023,통증,136
3324,허벅지,134
3205,플래너,132
408,가능,132
2361,일,129
3317,허리,128
3275,학습,128
1509,블루,127
2036,어깨,127
2494,장치,126
2171,완화,125
1413,벨트,124
1543,사람,122
419,가열,120
2685,짐볼,120
501,게르마늄,119
3032,튜빙,119
3451,훌라후프,118
3456,휴대용,117
2657,지압,116
1340,방지,114
1441,보호,113
668,근육,111
2618,주최자,111
3255,핑크,109
1307,발,109
1084,마그네틱,109
1190,목걸,109
1605,선물,105
1810,스티커,103
2891,코어,101
1978,안전,100
3100,패션,100
1274,바디,99
1737,스마트,98
1219,무릎,98
1248,미니,98
357,period,97
3176,풀업,96
3263,하버드,96
1601,서점추천,95
2593,조절,95
1445,복근,95
2283,유산소,95
3272,학생,94
2720,책,92
2163,완력기,92
3224,피트니스,92
687,기계,91
700,기술,91
1422,보드,91
2513,적철광,90
2976,탄성,90
3161,푸쉬업,89
872,대형,88
1621,성공대화론,87
2600,종아리,86
1714,수업,86
728,나,86
3057,티타늄,84
1970,악력기,83
1813,스틸,83
534,계획표,82
1231,문틀,81
2537,전신운동,81
1793,스트랩,81
809,눈,79
1703,수리,79
2376,일정,78
793,노트,77
838,다이어리,76
509,겨울,76
1676,손목,75
393,usb,74
1285,바벨,74
1333,방,73
3017,토르말린,73
1239,물리,73
2571,제거,73
554,고정,73
1162,멘탈,73
1480,분석기,72
3108,퍼플,72
1255,미용,72
1052,루프,71
1804,스트레칭밴드,71
1848,습관화,71
2226,운동매트,71
1321,발열,70
3050,트위스트,70
934,두꺼운,70
3352,헬스장,70
874,더,70
