,ID,sentences,datetime
0,"리오리오@lioliome·Dec 31, 2022",리오리오 @lioliome ·  내년에는 365일 한다!  29,2022-12-30T22:33:50.000Z
1,"웃긴생활 스토리@humorlifestory·Dec 29, 2022","웃긴생활 스토리 @humorlifestory · ㅤㅤㅤ
챌린저스 22년도 연말결산, 올 한 해 사람들이 가장 많이 도전한 건강 습관은?
ㅤㅤㅤ
          ㅤ meet2.kr meet2.kr 챌린저스 22년도 연말결산, 올 한 해 사람들이 가장 많이 도전한 건강 습관은? 챌린저스 22년도 연말결산, 올 한 해 사람들이 가장 많이 도전한 건강 습관은? 누적 가입자 153만을 보유한 건강습관 형성 플랫폼인 ‘챌린저스’가 2022년 한 해 동안 사용자의 앱 내 이용 수치를 담은 연말 결산 데이터를 공개했다. 2018년 11월 첫 선 누적 가입자 153만을 보유한 건강습관 형성 플랫폼인 ‘챌린저스’가 2022년 한 해 동안 사용자의 앱 내 이용 수치를 담은 연말 결산 데이터를 공개했다. 2018년 11월 첫 선 8",2022-12-29T00:40:37.000Z
2,"웃긴생활 스토리@humorlifestory·Dec 29, 2022","웃긴생활 스토리 @humorlifestory · ㅤㅤㅤ
챌린저스 22년도 연말결산, 올 한 해 사람들이 가장 많이 도전한 건강 습관은?
ㅤㅤㅤ
        ㅤ meet2.kr meet2.kr 챌린저스 22년도 연말결산, 올 한 해 사람들이 가장 많이 도전한 건강 습관은? 챌린저스 22년도 연말결산, 올 한 해 사람들이 가장 많이 도전한 건강 습관은? 누적 가입자 153만을 보유한 건강습관 형성 플랫폼인 ‘챌린저스’가 2022년 한 해 동안 사용자의 앱 내 이용 수치를 담은 연말 결산 데이터를 공개했다. 2018년 11월 첫 선 누적 가입자 153만을 보유한 건강습관 형성 플랫폼인 ‘챌린저스’가 2022년 한 해 동안 사용자의 앱 내 이용 수치를 담은 연말 결산 데이터를 공개했다. 2018년 11월 첫 선 5",2022-12-28T22:35:55.000Z
3,"웃긴생활 스토리@humorlifestory·Dec 29, 2022","웃긴생활 스토리 @humorlifestory · ㅤㅤㅤ
챌린저스 22년도 연말결산, 올 한 해 사람들이 가장 많이 도전한 건강 습관은?
ㅤㅤㅤ
          ㅤ meet2.kr meet2.kr 챌린저스 22년도 연말결산, 올 한 해 사람들이 가장 많이 도전한 건강 습관은? 챌린저스 22년도 연말결산, 올 한 해 사람들이 가장 많이 도전한 건강 습관은? 누적 가입자 153만을 보유한 건강습관 형성 플랫폼인 ‘챌린저스’가 2022년 한 해 동안 사용자의 앱 내 이용 수치를 담은 연말 결산 데이터를 공개했다. 2018년 11월 첫 선 누적 가입자 153만을 보유한 건강습관 형성 플랫폼인 ‘챌린저스’가 2022년 한 해 동안 사용자의 앱 내 이용 수치를 담은 연말 결산 데이터를 공개했다. 2018년 11월 첫 선 9",2022-12-28T20:19:45.000Z
4,"박폴리@polyjjjfaq·Dec 28, 2022","박폴리 @polyjjjfaq · @polyjjjfaq 시간별 루틴알람과 시간 알람을 안해둔건 아닌데 dismiss가 일상화되니 자각효과가 없었음.
어쩔 수 없이 강제력을 부과하는   앱으로 재복귀하려고. 저는 챌린저스에서 task당 최고금액(신용카드할부) * 1n개를 걸어서 돌리기도 했던 광인이라..  습관 형성엔 가끔 부스터가 필요한듯.. 1 3 191",2022-12-28T00:43:37.000Z
5,"이혜영@hiver48·Dec 27, 2022","이혜영 @hiver48 · 
  맛있다           instagram.com instagram.com 이혜영 (@hiver48) • Instagram photo 이혜영 (@hiver48) • Instagram photo 33",2022-12-27T08:29:48.000Z
6,"이혜영@hiver48·Dec 22, 2022","이혜영 @hiver48 ·  

드디어 나도 사용하게 되는     만나게되었다 지저분한 곳        instagram.com instagram.com 이혜영 (@hiver48) • Instagram photo 이혜영 (@hiver48) • Instagram photo 53",2022-12-22T12:34:29.000Z
7,"이혜영@hiver48·Dec 5, 2022","이혜영 @hiver48 · 
  통해   시작 여전히 어렵지만 4주동안 열심히 하자      instagram.com instagram.com 이혜영 (@hiver48) • Instagram photo 이혜영 (@hiver48) • Instagram photo",2022-12-05T13:30:28.000Z
8,"누룩 호주워홀준비@richnoorook·Nov 21, 2022","누룩  호주워홀준비 @richnoorook · 
폰 5시간 이하 쓰기.... 2주 전엔 상금 3천원 받았는데 이번엔 700원도 안되는 건에 대하여....
대응으로 이번주는 일단 참여 쉬기로 함! 챌린지 참여 안하고도 폰 사용 줄이기 가보자고. 7",2022-11-21T08:39:42.000Z
9,"이혜영@hiver48·Nov 18, 2022","이혜영 @hiver48 · 
             이혜영 (@hiver48) • Instagram photo",2022-11-18T00:19:50.000Z
