direction,angle,percent_list,init_angle
0,150,0.0,180
0,150,0.0,180
0,151,0.0,180
0,151,0.0,180
0,150,0.0,180
0,150,0.0,180
0,149,0.0,180
0,148,0.0,180
0,147,0.0,180
0,145,0.0,180
0,141,0.0,180
0,139,1.0,180
0,135,7.0,180
0,132,11.0,180
0,129,16.0,180
0,127,19.0,180
0,122,26.0,180
0,121,27.0,180
0,117,33.0,180
0,114,37.0,180
0,110,43.0,180
0,108,46.0,180
0,106,49.0,180
0,104,51.0,180
0,101,56.0,180
0,97,61.0,180
0,95,64.0,180
0,90,71.0,180
0,87,76.0,180
0,84,80.0,180
0,80,86.0,180
0,76,91.0,180
1,75,93.0,180
1,73,96.0,180
1,72,97.0,180
1,72,97.0,180
1,71,99.0,180
1,70,100.0,180
1,70,100.0,180
1,70,100.0,180
1,70,100.0,180
1,71,99.0,180
1,72,97.0,180
1,73,96.0,180
1,75,93.0,180
1,76,91.0,180
1,79,87.0,180
1,83,81.0,180
1,84,80.0,180
1,86,77.0,180
1,90,71.0,180
1,92,69.0,180
1,97,61.0,180
1,103,53.0,180
1,107,47.0,180
1,108,46.0,180
1,105,50.0,180
1,109,44.0,180
1,111,41.0,180
1,114,37.0,180
1,115,36.0,180
1,124,23.0,180
1,129,16.0,180
1,134,9.0,180
0,137,4.0,180
0,141,0.0,180
0,148,0.0,180
0,152,0.0,180
0,153,0.0,180
0,156,0.0,180
0,158,0.0,180
0,159,0.0,180
0,159,0.0,180
0,159,0.0,180
0,158,0.0,180
0,157,0.0,180
0,156,0.0,180
0,156,0.0,180
0,155,0.0,180
0,153,0.0,180
0,151,0.0,180
0,149,0.0,180
0,145,0.0,180
0,140,0.0,180
0,137,4.0,180
0,133,10.0,180
0,129,16.0,180
0,125,21.0,180
0,122,26.0,180
0,119,30.0,180
0,116,34.0,180
0,112,40.0,180
0,107,47.0,180
0,107,47.0,180
0,103,53.0,180
0,98,60.0,180
0,94,66.0,180
0,91,70.0,180
0,88,74.0,180
0,86,77.0,180
0,83,81.0,180
0,81,84.0,180
0,78,89.0,180
0,75,93.0,180
1,74,94.0,180
1,71,99.0,180
1,67,100.0,180
1,66,100.0,180
1,65,100.0,180
1,65,100.0,180
1,65,100.0,180
1,65,100.0,180
1,65,100.0,180
1,65,100.0,180
