                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86267,                 1.0653,                0.29544,                  20.05,                   1.62,                      1,                0.98605,                  0.995,                0.85187,                0.91191,                0.85714,                 0.8661,                0.57236,                0.61411,                 1.9619,                0.22572,                  0.461,                0.95407,                  4e-05,                  4e-05,                  4e-05
                      2,                0.51082,                0.71376,                 0.1613,                  1.896,                0.81185,                0.60594,                    0.5,                0.73797,                0.59627,                0.42836,                0.35714,                0.50562,                0.26183,                0.81291,                 2.5984,                0.25837,                 1.7781,                 1.0763,               9.01e-05,               9.01e-05,               9.01e-05
                      3,                 1.3684,                 2.8578,                0.33712,                 3.0156,                 1.5931,                0.52516,                0.21429,                0.36831,                0.24921,                0.70021,                0.28571,                0.36942,                0.14984,                0.98348,                 4.1011,                0.34888,                 2.8754,                 1.2777,             0.00012832,             0.00012832,             0.00012832
                      4,                 1.0055,                 2.4262,                0.19764,                 3.2923,                 1.0843,                0.07051,                0.78571,                0.09684,                0.04891,                0.03846,                0.42857,                0.04726,                 0.0113,                 1.3805,                  5.619,                0.46177,                 3.8576,                 1.5159,             0.00015466,             0.00015466,             0.00015466
                      5,                0.98433,                 2.4905,                0.23785,                 2.4248,                 1.0617,                0.28571,                0.14286,                0.17017,                0.10039,                      0,                      0,                      0,                      0,                  3.002,                 10.512,                 0.6456,                 5.4745,                  2.865,             0.00016912,             0.00016912,             0.00016912
                      6,                 1.6968,                  4.148,                0.39176,                 3.5106,                 2.1878,                0.94029,                0.07143,                0.09356,                 0.0807,                0.94029,                0.07143,                0.08188,                0.00819,                 2.4089,                 9.6526,                0.73392,                 4.7478,                 2.7115,              0.0001717,              0.0001717,              0.0001717
                      7,                0.85577,                 2.8157,                0.21868,                 2.8368,                0.97976,                0.04929,                0.07143,                 0.0262,                0.01264,                0.01242,                0.07143,                0.00461,                0.00092,                 2.2668,                 9.1585,                0.59006,                 5.9246,                 2.5082,              0.0001624,              0.0001624,              0.0001624
                      8,                  1.173,                 3.6997,                0.38944,                 2.5583,                 1.6034,                0.04429,                0.14286,                0.01881,                0.00756,                0.00715,                0.07143,                0.00283,                0.00113,                 2.4932,                 9.5676,                0.58836,                 11.716,                  2.538,             0.00014122,             0.00014122,             0.00014122
                      9,                0.73625,                 2.9424,                0.18502,                 2.1197,                  1.016,                0.16189,                0.07143,                0.04453,                0.01356,                      0,                      0,                      0,                      0,                 2.7684,                 10.027,                0.59738,                 8.0817,                  2.895,             0.00010816,             0.00010816,             0.00010816
                     10,                0.45113,                 3.3871,                0.25255,                 1.9592,                0.70924,                 0.2587,                0.07143,                0.04206,                0.01275,                0.00448,                0.07143,                0.00242,                0.00073,                 2.7088,                 9.9221,                0.59898,                 5.9236,                 2.8313,              6.322e-05,              6.322e-05,              6.322e-05
