direction,angle,percent_list,init_angle
0,153,12.0,153
0,153,12.0,153
0,153,12.0,153
0,154,12.0,153
0,156,12.0,153
0,156,12.0,153
0,156,12.0,153
0,154,12.0,153
0,153,12.0,153
0,152,13.0,152
0,153,13.0,152
0,151,15.0,151
0,151,15.0,151
0,146,23.0,146
0,146,23.0,146
0,147,23.0,146
0,149,23.0,146
0,148,23.0,146
0,146,23.0,146
0,142,30.0,142
0,123,62.0,123
0,127,62.0,123
0,131,62.0,123
0,130,62.0,123
0,127,62.0,123
0,127,62.0,123
0,128,62.0,123
0,125,62.0,123
0,122,63.0,122
0,124,63.0,122
0,122,63.0,122
0,120,67.0,120
0,119,68.0,119
0,116,73.0,116
1,118,70.0,118
1,114,70.0,118
1,113,70.0,118
1,116,70.0,118
1,112,70.0,118
1,116,70.0,118
1,126,57.0,126
1,126,57.0,126
1,125,57.0,126
1,123,57.0,126
1,139,35.0,139
0,142,35.0,139
0,133,45.0,133
0,136,45.0,133
0,136,45.0,133
0,143,45.0,133
0,141,45.0,133
0,144,45.0,133
0,152,45.0,133
0,146,45.0,133
0,148,45.0,133
0,150,45.0,133
0,161,45.0,133
0,154,45.0,133
0,155,45.0,133
0,158,45.0,133
0,158,45.0,133
0,160,45.0,133
0,161,45.0,133
0,151,45.0,133
0,162,45.0,133
0,161,45.0,133
0,158,45.0,133
0,146,45.0,133
0,143,45.0,133
0,144,45.0,133
0,146,45.0,133
0,158,45.0,133
0,155,45.0,133
0,161,45.0,133
0,159,45.0,133
0,161,45.0,133
0,155,45.0,133
0,153,45.0,133
0,149,45.0,133
0,148,45.0,133
0,141,45.0,133
0,137,45.0,133
0,132,47.0,132
0,128,53.0,128
0,137,53.0,128
0,135,53.0,128
0,126,57.0,126
0,119,68.0,119
0,113,78.0,113
1,115,75.0,115
1,111,75.0,115
1,112,75.0,115
1,106,75.0,115
1,106,75.0,115
1,103,75.0,115
1,100,75.0,115
1,98,75.0,115
1,99,75.0,115
1,98,75.0,115
1,100,75.0,115
1,102,75.0,115
1,105,75.0,115
1,116,73.0,116
1,122,63.0,122
1,135,42.0,135
0,134,43.0,134
0,134,43.0,134
0,134,43.0,134
0,133,45.0,133
0,138,45.0,133
0,145,45.0,133
0,145,45.0,133
0,147,45.0,133
0,144,45.0,133
0,149,45.0,133
0,149,45.0,133
0,159,45.0,133
0,159,45.0,133
0,156,45.0,133
0,157,45.0,133
0,156,45.0,133
0,155,45.0,133
0,155,45.0,133
0,156,45.0,133
0,142,45.0,133
0,141,45.0,133
0,154,45.0,133
0,152,45.0,133
0,151,45.0,133
0,151,45.0,133
0,152,45.0,133
0,154,45.0,133
0,152,45.0,133
0,147,45.0,133
0,147,45.0,133
0,146,45.0,133
0,147,45.0,133
0,146,45.0,133
0,142,45.0,133
0,139,45.0,133
0,127,55.0,127
0,130,55.0,127
0,121,65.0,121
0,120,67.0,120
0,122,67.0,120
0,120,67.0,120
0,121,67.0,120
0,114,77.0,114
1,117,72.0,117
1,118,70.0,118
1,115,70.0,118
1,110,70.0,118
1,102,70.0,118
1,109,70.0,118
1,113,70.0,118
1,115,70.0,118
1,128,53.0,128
0,132,53.0,128
0,127,55.0,127
0,135,55.0,127
0,138,55.0,127
0,134,55.0,127
0,137,55.0,127
0,135,55.0,127
0,146,55.0,127
0,145,55.0,127
0,144,55.0,127
0,151,55.0,127
0,144,55.0,127
0,146,55.0,127
0,148,55.0,127
0,153,55.0,127
0,157,55.0,127
0,156,55.0,127
0,155,55.0,127
0,153,55.0,127
0,154,55.0,127
0,154,55.0,127
0,154,55.0,127
0,145,55.0,127
0,142,55.0,127
0,153,55.0,127
0,152,55.0,127
0,149,55.0,127
0,155,55.0,127
0,157,55.0,127
0,160,55.0,127
0,153,55.0,127
0,154,55.0,127
0,152,55.0,127
0,149,55.0,127
0,148,55.0,127
0,135,55.0,127
0,133,55.0,127
0,123,62.0,123
0,134,62.0,123
0,137,62.0,123
0,132,62.0,123
0,130,62.0,123
0,129,62.0,123
0,119,68.0,119
0,116,73.0,116
1,115,73.0,116
1,114,73.0,116
1,114,73.0,116
1,123,62.0,123
1,122,62.0,123
1,123,62.0,123
1,117,62.0,123
1,118,62.0,123
1,120,62.0,123
1,129,52.0,129
0,143,52.0,129
0,128,53.0,128
0,125,58.0,125
0,127,58.0,125
0,133,58.0,125
0,138,58.0,125
0,139,58.0,125
0,139,58.0,125
0,148,58.0,125
0,141,58.0,125
0,149,58.0,125
0,148,58.0,125
0,158,58.0,125
0,161,58.0,125
0,156,58.0,125
0,159,58.0,125
0,157,58.0,125
0,143,58.0,125
0,144,58.0,125
0,143,58.0,125
0,144,58.0,125
0,144,58.0,125
0,143,58.0,125
0,144,58.0,125
0,147,58.0,125
0,147,58.0,125
0,147,58.0,125
0,147,58.0,125
0,149,58.0,125
0,155,58.0,125
0,149,58.0,125
0,152,58.0,125
0,153,58.0,125
0,153,58.0,125
0,153,58.0,125
0,157,58.0,125
0,157,58.0,125
0,159,58.0,125
0,165,58.0,125
0,168,58.0,125
0,171,58.0,125
0,171,58.0,125
0,171,58.0,125
0,169,58.0,125
0,167,58.0,125
0,168,58.0,125
0,167,58.0,125
0,170,58.0,125
0,171,58.0,125
0,173,58.0,125
0,170,58.0,125
0,167,58.0,125
